project,text,actual_types,predicted_types,preprocessed_tokens
1,The system shall refresh the display every 60 seconds.,performance,performance,refresh display everi second
1,The application shall match the color of the schema set forth by Department of Homeland Security,legal|look-and-feel,functional,applic match color schema set forth depart homeland secur
1,If projected the data must be readable. On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30,look-and-feel|usability,usability,project data readabl x project screen viewer abl read event activ data view distanc
1,The product shall be available during normal business hours. As long as the user has access to the client PC the system will be available 99% of the time during the first six months of operation.,availability,availability|operational|performance|security|usability,avail normal busi hour long user access client pc avail time first six month oper
1,If projected the data must be understandable. On a 10x10 projection screen 90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,look-and-feel|usability,availability|performance|usability,project data understand x project screen viewer abl determin event activ occur current time view distanc
1,The product shall ensure that it can only be accessed by authorized users. The product will be able to distinguish between authorized and unauthorized users in all access attempts,security,scalability|security|usability,ensur access author user abl distinguish author unauthor user access attempt
1,The product shall be intuitive and self-explanatory. : 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,usability,look-and-feel|maintainability|operational|performance|scalability|security|usability,intuit self explanatori new user abl start display event activ within minut use
1,The product shall respond fast to keep up-to-date data in the display.,performance,functional,respond fast keep date data display
1,The system shall have a MDI form that allows for the viewing of the graph and the data table.,functional,functional,mdi form allow view graph data tabl
1,The system shall display Events in a vertical table by time.,functional,availability|performance,display event vertic tabl time
1,The system shall display the Events in a graph by time.,functional,availability|performance,display event graph time
1,The system shall display Events or Activities.,functional,functional,display event activ
1,The display shall have two regions: left 2/3 of the display is graphical right 1/3 of the display is a data table,look-and-feel,functional,display two region left display graphic right display data tabl
1,The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data,functional,functional,data display node within graph row tabl msel summari data
1,The table side of the display shall be split into 2 regions: sequential and temporal.,look-and-feel,functional,tabl side display split region sequenti tempor
1,The top 1/4 of the table will hold events that are to occur sequentially.,look-and-feel,functional,top tabl hold event occur sequenti
1,The bottom 3/4 of the table will hold events that occur according to its relevance to current time.,look-and-feel,availability|performance,bottom tabl hold event occur accord relev current time
1,The system shall color code events according to their variance from current time.,look-and-feel,availability|performance,color code event accord varianc current time
1,The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications,look-and-feel,functional,display data sync matrix exercis manag tool applic
1,The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.,maintainability,functional,link event back either sync matrix exercis manag tool applic modif
1,The system shall allow modification of the display.,functional,functional,allow modif display
1,The system shall offer a display of all the Events in the exercise.,functional,functional,offer display event exercis
1,The system shall filter data by: Venues and Key Events.,functional,functional,filter data venu key event
1,The system shall allow a user to define the time segments,functional,availability|performance|security|usability,allow user defin time segment
1,The system shall display the local and exercise time in separate clocks,functional,availability|performance,display local exercis time separ clock
1,The system shall offer the ability to pause and resume the refresh of data.,functional,functional,offer abil paus resum refresh data
1,The system shall provide charts for the Activity or Event actual versus assumed time.,functional,availability|performance,provid chart activ event actual versu assum time
1,The system shall provide a history report of changes made to the Activity or Event data,functional,functional,provid histori report chang made activ event data
