project,text,actual_types,predicted_types,preprocessed_tokens
3,The system shall be easy to use by the Program Administrators/Nursing Staff Members.,usability,look-and-feel|usability,easi use program administr nurs staff member
3,All of the users shall be able to use the system after one day of training.,usability,availability|look-and-feel|operational|scalability|security|usability,user abl use one day train
3,The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.,usability,security|usability,help user avoid make mistak schedul class clinic nurs student
3,The number of mistakes noted by the students shall be decreased by 50% in the first year.,usability,scalability,number mistak note student decreas first year
3,The system shall be intuitive to the Program Administrators/Nursing Staff Members.,usability,usability,intuit program administr nurs staff member
3,2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.,usability,look-and-feel|operational|usability,program administr nurs staff member success abl use manag schedul class clinic
3,The system shall use symbols and words that are naturally understandable by the user community.,look-and-feel|usability,look-and-feel|security|usability,use symbol word natur understand user commun
3,The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.,look-and-feel|usability,look-and-feel|performance|usability,verbiag use within consist standard english terminolog nation nurs commun
3,Staff members shall be able to complete a set of tasks in a timely manner.,performance,availability|performance|scalability|usability,staff member abl complet set task time manner
3,The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.,performance,availability|performance,respons time gener student manag task take longer second respons time schedul gener take longer second
3,The system shall be available for use between the hours of 8am and 6pm.,availability,availability|look-and-feel|usability,avail use hour pm
3,The system shall achieve 95% up time.,availability,availability|performance,achiev time
3,system shall be able to handle all of the user requests/usage during business hours.,availability|scalability,availability|scalability|security|usability,abl handl user request usag busi hour
3,The system shall cater to 10 simultaneous users from 9am to 5pm.,availability|scalability,scalability|security|usability,cater simultan user pm
3,The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.,scalability,scalability,capabl process nurs student class next year
3,The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.,scalability,functional,expect manag nurs program curriculum class clinic schedul minimum year
3,The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.,operational,operational|performance|usability,abl oper within busi offic environ typic nurs depart depaul univers
3,The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.,operational,look-and-feel|operational|performance|usability,use within specif defin comput use program administr nurs staff member
3,The system shall operate within the Windows XP Professional operating system.,operational,look-and-feel|operational|performance,oper within window xp profession oper
3,The system shall interface with CampusConnect's central server,operational,look-and-feel|operational,interfac campusconnect central server
3,The system shall interface with the faculty central server.,operational,look-and-feel|operational,interfac faculti central server
3,The system shall interface with the student master server.,operational,look-and-feel|operational,interfac student master server
3,We must be able to interface with any HTML browser.,operational,look-and-feel|operational|usability,abl interfac html browser
3,Only authorized users shall have access to clinical site information.,security,security|usability,author user access clinic site inform
3,Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.,security,security,program administr nurs staff member peopl access clinic site detail
3,Only authorized users shall have access to students' personal information.,security,security|usability,author user access student person inform
3,Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students' personal information.,security,security,dr susan poslusni dr juli donalek peopl access student person inform
3,Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.,security,look-and-feel|operational|security|usability,author user access portion interfac campusconnect
3,Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.,security,look-and-feel|operational|security,fit criterion dr susan poslusni karen sysol peopl access final class section schedul interfac campusconnect
3,The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.,security,functional,basic data integr check reduc possibl incorrect invalid data introduc
3,The system shall protect private information in accordance with the organization's information policy.,legal|security,functional,protect privat inform accord organ inform polici
3,The system shall be built such that it is as secure as possible from malicious interference.,security,functional,built secur possibl malici interfer
3,The system shall use the organization's standard virus protection software to help monitor threats to itself.,security,look-and-feel|usability,use organ standard viru protect softwar help monitor threat
3,A cohort shall be associated to one Program of Study offered by the department.,functional,functional,cohort associ one program studi offer depart
3,Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.,functional,usability,program administr nurs staff member abl add list student cohort
3,Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort,functional,usability,program administr nurs staff member abl add singl student cohort
3,Students added to a cohort shall be eligible for the cohort's Program of Study.,functional,functional,student ad cohort elig cohort program studi
3,Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.,functional,usability,program administr nurs staff member abl specifi prefer sequenc class given cohort
3,For each class within a sequence for a cohort Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.,functional,performance|usability,class within sequenc cohort program administr nurs staff member abl specifi quarter class offer
3,Program Administrators and Nursing Staff Members shall be able to add new classes to a sequence of classes,functional,maintainability|usability,program administr nurs staff member abl add new class sequenc class
3,Program Administrators and Nursing Staff Members shall be able to add clinical classes or sections to a sequence of classes,functional,usability,program administr nurs staff member abl add clinic class section sequenc class
3,Program Administrators and Nursing Staff Members shall be able to add a new cohort to the system identified by start month and year.,functional,maintainability|scalability|usability,program administr nurs staff member abl add new cohort identifi start month year
3,Program Administrators and Nursing Staff Members shall be able to add new classes for the nursing department into the system.,functional,maintainability|usability,program administr nurs staff member abl add new class nurs depart
3,A class shall be either a non-clinical class or a clinical class.,functional,functional,class either non clinic class clinic class
3,A non-clinical class shall specify the course name lecture room requirements and instructor needs.,functional,legal,non clinic class specifi cours name lectur room requir instructor need
3,A clinical class shall specify the course name lecture room requirements clinical site needs lecture instructor needs and clinical lab instructor needs.,functional,legal,clinic class specifi cours name lectur room requir clinic site need lectur instructor need clinic lab instructor need
3,Program Administrators/Nursing Staff Members shall be able to create a new Program of Study.,functional,maintainability|usability,program administr nurs staff member abl creat new program studi
3,A Program of Study shall consist of a program name and listing of required classes (both clinical and non-clinical) that must be completed.,functional,functional,program studi consist program name list requir class clinic non clinic complet
3,Program Administrators and Nursing Staff Members shall have the ability to specify which classes are required for a Program of Study,functional,legal,program administr nurs staff member abil specifi class requir program studi
3,The system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Members' planning purposes.,functional,usability,abl display report need class given quarter cohort program program administr nurs staff member plan purpos
3,The report of needed classes shall include (but not be limited to) classes to be offered number of sections needed number of labs needed and room types needed.,functional,scalability,report need class includ limit class offer number section need number lab need room type need
3,Classes for a given cohort shall not conflict with regards to the time and day that they are offered.,functional,availability|performance,class given cohort conflict regard time day offer
3,Program Administrators and Nursing Staff Members shall be able to add a new clinical site into the system.,functional,maintainability|usability,program administr nurs staff member abl add new clinic site
3,Clinical site information shall include (but not be limited to) the name of the site contact person and contact information.,functional,functional,clinic site inform includ limit name site contact person contact inform
3,Program Administrators and Nursing Staff Members shall be able to add a new clinical lab section for an existing clinical class into the System.,functional,maintainability|usability,program administr nurs staff member abl add new clinic lab section exist clinic class
3,A clinical lab section shall include the clinical site name the class instructor day and time of the lab.,functional,availability|performance,clinic lab section includ clinic site name class instructor day time lab
3,Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.,functional,usability,program administr nurs staff member abl add student regist clinic class clinic lab section class
3,The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.,functional,functional,allow program administr nurs staff member remov student clinic lab section
3,The system shall allow a Program Administrator/Nursing Staff Member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class.,functional,functional,allow program administr nurs staff member move student one clinic lab section anoth clinic lab section correspond clinic class
3,Program Administrators/Nursing Staff Members shall be able to cancel a clinical lab section only if there are no students registered for that clinical lab section.,functional,usability,program administr nurs staff member abl cancel clinic lab section student regist clinic lab section
3,A Program Administrator/Nursing Staff Member shall be able to add a new nursing student to the system.,functional,maintainability|usability,program administr nurs staff member abl add new nurs student
3,A staff member shall have the ability to manage the progress of a part time student which includes modifying their sequence of classes and timeline of classes.,functional,availability|performance,staff member abil manag progress part time student includ modifi sequenc class timelin class
3,The system shall be able to display a printable summary for individual cohorts which will include the students enlisted the Program of study sequence of classes cohort progress through the program and timeline of completion.,functional,usability,abl display printabl summari individu cohort includ student enlist program studi sequenc class cohort progress program timelin complet
