project,text,actual_types,predicted_types,preprocessed_tokens
11,The system shall be easy to use by callers and supervisors. Callers and supervisors must be able to accomplish any system task within 2 minutes.,performance|usability,look-and-feel|operational|performance|usability,easi use caller supervisor caller supervisor abl accomplish task within minut
11,The system shall be easy to learn by callers and supervisors. Callers and supervisors shall learn how to use the system within 10 minutes.,usability,look-and-feel|performance|usability,easi learn caller supervisor caller supervisor learn use within minut
11,The system shall be responsive. At the DePaul TeleServices Center when a supervisor uses the system to view a callers schedule the system response time must be no more than 2 seconds 90% of the time and no more than 5 seconds the rest of the time.,performance|usability,availability|look-and-feel|performance|usability,respons depaul teleservic center supervisor use view caller schedul respons time second time second rest time
11,On a 56k connection the system response time for all operations must be no more than 6 seconds 90% of the time.,availability|performance,availability|operational|performance,k connect respons time oper second time
11,On a 112k connection or faster the system response time for all operations must be no more than 3 seconds 90% of the time.,availability|performance,availability|operational|performance,k connect faster respons time oper second time
11,The system shall have high availability every day of the year.The system must be available for use between 12:00AM and 6:00PM all days of the year.,availability,availability|look-and-feel|usability,high avail everi day year avail use pm day year
11,The system must be available for use between 7:00AM and 11:59PM all days of the year.,availability,availability|look-and-feel|usability,avail use pm day year
11,The product shall be internet browser independent.The product must run using Internet Explorer and Netscape Navigator.,functional,look-and-feel|operational|usability,internet browser independ run use internet explor netscap navig
11,The product shall ensure that only supervisors can advertise empty time slots.The product must ensure that supervisors are allowed to access advertise empty time slots.,security,availability|performance|security,ensur supervisor advertis empti time slot ensur supervisor allow access advertis empti time slot
11,The product shall ensure that only supervisors can enter a caller's schedule.The product must ensure that supervisors are allowed to access advertise empty time slots.,security,availability|performance|security,ensur supervisor enter caller schedul ensur supervisor allow access advertis empti time slot
11,The product shall ensure that only supervisors can view schedule of all callers.The product must ensure that supervisors are allowed to access advertise empty time slots.,security,availability|performance|security,ensur supervisor view schedul caller ensur supervisor allow access advertis empti time slot
11,The interface shall have a simple look. In the interface and usability survey 90% of beta testers must report that the interface is adequately simple.,look-and-feel,look-and-feel|operational,interfac simpl look interfac usabl survey beta tester report interfac adequ simpl
11,The interface shall be appealing to callers and supervisors. In the interface and usability survey 80% of beta testers must report that the interface is appealing.,look-and-feel|performance,look-and-feel|operational,interfac appeal caller supervisor interfac usabl survey beta tester report interfac appeal
