project,text,actual_types,predicted_types,preprocessed_tokens
4,The Disputes application shall comply with the corporate standards for user interface creation for internally and externally used applications.,look-and-feel,legal|look-and-feel|operational|security|usability,disput applic compli corpor standard user interfac creation intern extern use applic
4,All screens created as part of the Disputes application must comply with corporate standards for interface creation.,look-and-feel,legal|look-and-feel|operational,screen creat part disput applic compli corpor standard interfac creation
4,The list of dispute cases that are displayed after a search is performed must be color coded for easy identification of dispute cases based upon the dispute case status.,look-and-feel,look-and-feel|usability,list disput case display search perform color code easi identif disput case base upon disput case statu
4,100% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course.,scalability|usability,look-and-feel|usability,cardmemb merchant servic repres use disput applic regularli day train cours
4,100% of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course.,scalability|usability,usability,cardmemb servic repres abl success creat disput case first encount complet train cours
4,100% of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course.,scalability|usability,usability,merchant servic repres abl success perform follow action disput case first encount complet train cours
4,The maximum wait time for a user navigating from one screen to another within the Disputes application shall be no more than 5 seconds.,performance,availability|look-and-feel|performance|security|usability,maximum wait time user navig one screen anoth within disput applic second
4,The Disputes application shall support 350 concurrent users without any degradation of performance in the application.,performance|scalability,look-and-feel|scalability|security|usability,disput applic support concurr user without degrad perform applic
4,The Disputes application shall be available 24x7x365 with the exception of the following scheduled maintenance windows. Monday â€“ Saturday 3:00am to 4:00am EST Sunday 1:00amd to 5:00am EST,availability|operational,availability|maintainability,disput applic avail x x except follow schedul mainten window monday saturday est sunday amd est
4,The Disputes application shall interface with the Statement Database. The Statement Database provides the transaction details to the Disputes System. All transaction details must be obtained from the Statement Database,operational,look-and-feel|operational,disput applic interfac statement databas statement databas provid transact detail disput transact detail obtain statement databas
4,The Disputes application shall interface with the Cardmember Information Database. The Cardmember Information Database provides detailed information with regard to a cardmember. All cardmember detail information must be obtained from the Cardmember Information Database.,operational,look-and-feel|operational|security,disput applic interfac cardmemb inform databas cardmemb inform databas provid detail inform regard cardmemb cardmemb detail inform obtain cardmemb inform databas
4,The Disputes applications shall interface with the Merchant Information Database. The Merchant Information Database provides detailed information with regard to the merchant. All merchant detail information shall be obtained from the Merchant Information Database.,operational,look-and-feel|operational|security,disput applic interfac merchant inform databas merchant inform databas provid detail inform regard merchant merchant detail inform obtain merchant inform databas
4,The Disputes application shall interface with the Letters application. This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process. All letter requests must be sent to the Print Letter Utility application.,operational,look-and-feel|operational,disput applic interfac letter applic allow disput applic request letter part disput initi disput follow process letter request sent print letter util applic
4,The Disputes application shall interface with the Cardmember Posting and Billing System. This will allow the Disputes application to request adjustments to cardmember and merchant's accounts. All adjustment requests must be sent to the Cardmember Posting and Billing System.,operational,look-and-feel|operational,disput applic interfac cardmemb post bill allow disput applic request adjust cardmemb merchant account adjust request sent cardmemb post bill
4,The Disputes application shall ensure that only users with the appropriate access level are allowed to initiate dispute requests.,security,legal|look-and-feel|security|usability,disput applic ensur user appropri access level allow initi disput request
4,Only users with Update access must be able to initiate dispute requests.,security,look-and-feel|maintainability|scalability|security|usability,user updat access abl initi disput request
4,The Disputes application shall ensure that only authorized users are allowed to logon to the application.,security,look-and-feel|security|usability,disput applic ensur author user allow logon applic
4,All authorized users once authenticated must be able to logon to the Disputes System,security,look-and-feel|scalability|security|usability,author user authent abl logon disput
4,The Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing user's access level. The report will be reviewed for auditing purposes.,functional,look-and-feel|maintainability|security|usability,disput gener user report detail new user ad chang exist user access level report review audit purpos
4,All additions of new users and modifications to user's access shall be recorded on the User Report.,functional,look-and-feel|maintainability|security|usability,addit new user modif user access record user report
4,If a user account is revoked it can only be re-instantiated by the System Administrator.,security,look-and-feel|security|usability,user account revok instanti administr
4,Only the System Administrator shall be able to reset a revoked user logon account,security,look-and-feel|scalability|security|usability,administr abl reset revok user logon account
4,The Disputes application shall manipulate and view business data. Users will not have direct access to data files or databases.,security,look-and-feel|security|usability,disput applic manipul view busi data user direct access data file databas
4,All updates to data files or database must be initiated from the Disputes System.,functional,maintainability,updat data file databas initi disput
4,The Disputes application must conform to the legal requirements as specified by the Merchant Operating Regulations.,legal,legal|operational,disput applic conform legal requir specifi merchant oper regul
4,All business rules specified in the Disputes System shall be in compliance with the Merchant Operating Regulations.,legal,operational,busi rule specifi disput complianc merchant oper regul
4,The Disputes application must conform to the legal requirements as specified by Regulation E and Regulation Z that govern credit card disputes processing.,legal,legal,disput applic conform legal requir specifi regul e regul z govern credit card disput process
4,All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.,legal,functional,busi rule specifi disput complianc guidelin regul e regul z
4,The Disputes application must maintain a detailed history of every action that a user takes on a dispute case. This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.,legal,look-and-feel|performance|security|usability,disput applic maintain detail histori everi action user take disput case ensur complet audit trail question aris later regard particular disput case
4,All actions that modify an existing dispute case must be recorded in the case history.,legal|maintainability,functional,action modifi exist disput case record case histori
4,The Disputes System must be accessible by both internal and external users.,availability|security,look-and-feel|security|usability,disput access intern extern user
4,The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.,security,look-and-feel|security|usability,disput prevent user access disput case belong cardhold base
4,The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.,performance|scalability,availability|look-and-feel|operational|performance|scalability|security|usability,disput facilit direct data entri disput case via user interfac support real time respons user
4,The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.,security,security,disput provid differ level access regard disput case initi follow action
4,The Disputes System shall provide view access capability for authorized users of the application.,security,look-and-feel|scalability|security|usability,disput provid view access capabl author user applic
4,The Disputes System shall provide update access capability for authorized users of the application.,security,look-and-feel|maintainability|scalability|security|usability,disput provid updat access capabl author user applic
4,The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,functional,look-and-feel|operational|security|usability,disput allow user select disput transact base age transact user interfac initi disput ticket retriev request chargeback notif select transact
4,The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.,functional,look-and-feel|security|usability,disput provid user abil initi singl disput case multipl transact belong singl merchant
4,The Disputes System will provide the user the ability to create or initiate a ticket retrieval request. As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request. The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,functional,look-and-feel|security|usability,disput provid user abil creat initi ticket retriev request part ticket retriev creation process prompt user enter requir inform creat ticket retriev request ticket retriev request document sent merchant inquir valid transact
