project,text,actual_types,predicted_types,preprocessed_tokens
5,The product must support Internet Explorer 5.5 and above.,functional,scalability,support internet explor
5,The product must support Mozilla Firefox 1.0 and above.,functional,scalability,support mozilla firefox
5,The product shall interface with the Choice Parts System. This provides the feed of recycled parts data.,operational,look-and-feel|operational,interfac choic part provid feed recycl part data
5,The product shall run on the existing hardware for all environments.,functional,operational,run exist hardwar environ
5,The product shall adhere to the corporate Architecture guidelines,operational,functional,adher corpor architectur guidelin
5,The product shall comply with corporate User Interface Guidelines,look-and-feel,legal|look-and-feel|operational|security|usability,compli corpor user interfac guidelin
5,The product shall comply with corporate color scheme,look-and-feel,legal|look-and-feel,compli corpor color scheme
5,The appearance of the product shall appear professional,look-and-feel,look-and-feel,appear appear profession
5,The product shall be easy to use by Adjusters and Collision Estimators. 95% of Adjusters and Collision Estimators shall find the product easy to use.,usability,look-and-feel|usability,easi use adjust collis estim adjust collis estim find easi use
5,The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,usability,look-and-feel|operational|usability,increas product collis estim collis estim agre product increas within month use
5,Users shall feel satisfied using the product. 85% of all users will be satisfied with the product.,usability,look-and-feel|security|usability,user feel satisfi use user satisfi
5,The product shall be easy to learn by Adjusters and Collision Estimators. The product shall be learned with two days onsite training,usability,usability,easi learn adjust collis estim learn two day onsit train
5,The user shall easily locate instructions while using the product. User help can be found within 90% of the system.,look-and-feel|usability,look-and-feel|operational|performance|security|usability,user easili locat instruct use user help found within
5,The search for recycled parts shall take no longer than 15 seconds. The search results shall be returned in under 15 seconds.,performance,performance,search recycl part take longer second search result return second
5,The search for the preferred repair facility shall take no longer than 8 seconds. The preferred repair facility is returned within 8 seconds,performance,performance,search prefer repair facil take longer second prefer repair facil return within second
5,The recycled parts audit report shall be returned to the user within 10 seconds. The audit report shall be returned within 10 seconds.,performance,look-and-feel|performance|security|usability,recycl part audit report return user within second audit report return within second
5,The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,performance,performance,prefer repair facil rate save within second save occur within second
5,The product shall adhere to the corporate online availability schedule. The application is brought down only within 98% of the scheduled outages per the availability schedule.,availability,availability|legal|operational,adher corpor onlin avail schedul applic brought within schedul outag per avail schedul
5,The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,availability,availability|performance,achiev uptim fail avail onlin time
5,The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.,scalability,availability|performance|scalability|security|usability,abl handl simultan user perform user time
5,The average number of recycled parts records per day shall be 50 000.,scalability,availability,averag number recycl part record per day
5,The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,scalability,look-and-feel|operational|performance|scalability|security|usability,abl handl concurr user within year initi launch
5,For estimators the product shall be able to be operated in a repair facility during dirty and noisy conditions.,operational,operational|usability,estim abl oper repair facil dirti noisi condit
5,The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.,operational,availability|look-and-feel|operational,interfac choicepart per day approxim
5,The maintenance of the product will fall within the established corporate maintenance windows.,maintainability,maintainability|operational,mainten fall within establish corpor mainten window
5,The product shall be supported using the corporate support center.,operational,look-and-feel|scalability|usability,support use corpor support center
5,Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.,maintainability,availability|performance|scalability,instal upgrad handl middlewar technolog team within establish launch time frame
5,Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.,security,security|usability,adjust request recycl part audit report user without adjust role request recycl part audit
5,Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,security,maintainability|security|usability,adjust supervisor role updat prefer repair facil rate user without supervisor role cannot access repair facil rate
5,Only collision estimators shall search for recycled parts. Users without the collision estimator role shall not have access to the search for recycled parts.,security,security|usability,collis estim search recycl part user without collis estim role access search recycl part
5,Only valid data shall be entered into the system. No invalid data shall be entered into the system.,security|usability,functional,valid data enter invalid data enter
5,One insurance company shall not be able to view another insurance companys claim data.,security,usability,one insur compani abl view anoth insur compani claim data
5,The product shall free of computer viruses.,security,functional,free comput virus
5,The system shall prevent malicious attacks including denial of service.,security,functional,prevent malici attack includ denial servic
5,The product must comply with Sarbanes-Oxley.,legal,legal,compli sarban oxley
5,The product shall comply with the estimatics laws relating to recycled parts usage.,legal,legal,compli estimat law relat recycl part usag
5,The product shall comply with insurance regulations regarding claims processing.,legal,legal,compli insur regul regard claim process
5,The user shall search for the preferred repair facility using vehicle vehicle location and radius in miles,functional,look-and-feel|security|usability,user search prefer repair facil use vehicl vehicl locat radiu mile
5,The vehicle data shall include vehicle year make and model,functional,functional,vehicl data includ vehicl year make model
5,The vehicle location shall include street address city state and zipcode,functional,functional,vehicl locat includ street address citi state zipcod
5,The system shall resolve the zipcode for the street address city and state if zipcode is unknown.,functional,functional,resolv zipcod street address citi state zipcod unknown
5,The search radius shall be between 1 and 30 miles,functional,functional,search radiu mile
5,The system shall locate the preferred repair facility with the highest ratings for the input criteria,functional,functional,locat prefer repair facil highest rate input criteria
5,The adjuster shall enter the preferred repair facility on the estimate assignment.,functional,functional,adjust enter prefer repair facil estim assign
5,The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.,functional,usability,adjust abl overrid prefer repair facitl estim assign
5,The preferred repair facility shall be returned to the user.,functional,security|usability,prefer repair facil return user
5,The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.,functional,functional,return list repair facil within radiu prefer repair facil cannot determin
5,The estimator shall search for available recycled parts using damaged vehicle parts information.,functional,availability|look-and-feel|usability,estim search avail recycl part use damag vehicl part inform
5,The estimator shall search for available recycled parts using a list of preferred parts suppliers.,functional,availability|look-and-feel|usability,estim search avail recycl part use list prefer part supplier
5,The system shall search for available recycled parts for the supplied vehicle parts and suppliers.,functional,availability,search avail recycl part suppli vehicl part supplier
5,The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers,functional,functional,estim search zipcod radiu mile part found prefer part supplier
5,The system shall retain the available recycled parts and suppliers returned from the search.,functional,availability,retain avail recycl part supplier return search
5,The available recycled parts information and their suppliers shall be returned to the user.,functional,availability|security|usability,avail recycl part inform supplier return user
5,The estimator shall apply selected recycled parts to the collision estimate.,functional,functional,estim appli select recycl part collis estim
5,The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.,functional,availability,estim appli recycl part collis estim avail part return
5,The adjuster shall review the collision estimate.,functional,functional,adjust review collis estim
5,The adjuster shall request a recycled parts audit of the collision estimate.,functional,functional,adjust request recycl part audit collis estim
5,The recycled parts search results provided to the estimator shall be retrieved by the system.,functional,functional,recycl part search result provid estim retriev
5,The system shall generate an audit report based on the available recycled parts and the collision estimate.,functional,availability,gener audit report base avail recycl part collis estim
5,The audit report shall include the total number of recycled parts used in the estimate.,functional,look-and-feel|usability,audit report includ total number recycl part use estim
5,The audit report shall include the number of available recycled parts from the original search results.,functional,availability,audit report includ number avail recycl part origin search result
5,The audit report shall include the percentage of available recycled parts used in the estimate ,functional,availability|look-and-feel|usability,audit report includ percentag avail recycl part use estim
5,The audit report shall include the total score of the audit which sums the indivual line items.,functional,functional,audit report includ total score audit sum indivu line item
5,The audit report shall be displayed to the user.,functional,look-and-feel|security|usability,audit report display user
5,The audit report shall be available to other adjusters at later points in time.,functional,availability|performance,audit report avail adjust later point time
5,The user shall select to view the preferred repair facility ratings.,functional,security|usability,user select view prefer repair facil rate
5,The current repair facility ratings shall be displayed to the user.,functional,look-and-feel|security|usability,current repair facil rate display user
5,The system will display a blank set of ratings if there are not ratings yet defined.,functional,functional,display blank set rate rate yet defin
5,The user shall enter new ratings based on the audit report,functional,maintainability|security|usability,user enter new rate base audit report
5,The ratings shall be from a scale of 1-10,functional,functional,rate scale
5,The ratings shall include categories for attempted use of recycled parts and actual use of recycled parts,functional,look-and-feel|usability,rate includ categori attempt use recycl part actual use recycl part
5,The user shall select to save the preferred repair facility ratings.,functional,security|usability,user select save prefer repair facil rate
5,The preferred repair facility ratings shall be saved by the system.,functional,functional,prefer repair facil rate save
