project,text,actual_types,predicted_types,preprocessed_tokens
6,The product must work with most database management systems (DBMS) on the market whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network.,operational,functional,work databas manag system dbm market whether dbm coloc machin locat differ machin comput network
6,The product will function alongside server software on any operating system where the Java runtime can be installed.,functional,operational,function alongsid server softwar oper java runtim instal
6,The product will require collaboration with a database management system (DBMS). The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.,operational,functional,requir collabor databas manag dbm dbm may locat machin separ machin resid comput network
6,The product must make use of web/application server technology. Open source examples include Apache web server Tomcat and the JBoss application server.,operational,look-and-feel|operational|usability,make use web applic server technolog open sourc exampl includ apach web server tomcat jboss applic server
6,A database management system such as Oracle DB2 MySql or HSQL will need to be integrated with the product.,operational,functional,databas manag oracl db mysql hsql need integr
6,The product's Look and Feel shall be able to incorporate aspects of the customer's organization such as logo branding and identity,look-and-feel,legal|look-and-feel|usability,look feel abl incorpor aspect custom organ logo brand ident
6,The product shall have a conservative and professional appearance.,look-and-feel,look-and-feel,conserv profession appear
6,The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.,usability,look-and-feel|scalability|security|usability,make user want use user survey report regularli use first week post launch
6,The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.,usability,look-and-feel|operational|performance|scalability|security|usability,easi use user abl success reserv confer room within minut use
6,The product shall give users feedback when necessary. 80% of the users surveyed report that the product accurately confirms their actions.,performance|usability,look-and-feel|scalability|security|usability,give user feedback necessari user survey report accur confirm action
6,The product shall allow the user to select a chosen language from one of the target market countries.,usability,look-and-feel|scalability|security|usability,allow user select chosen languag one target market countri
6,The product shall allow for customization of start page and views preferences.,usability,look-and-feel,allow custom start page view prefer
6,An employee will be able to successfully use the product within a few minutes. After informally navigating the product for less than 15 minutes users shall be able to successfully setup meetings and reserve conference rooms.,usability,look-and-feel|operational|performance|scalability|security|usability,employe abl success use within minut inform navig less minut user abl success setup meet reserv confer room
6,The product shall use a standard navigation menu familiar to most web users.,usability,look-and-feel|operational|scalability|security|usability,use standard navig menu familiar web user
6,The product shall allow for intuitive searching of available conference rooms.,usability,availability|usability,allow intuit search avail confer room
6,The product shall conform to the Americans with Disabilities Act.,legal,functional,conform american disabl act
6,The response shall be fast enough to avoid interrupting the user's flow of thought. 90% of tasks shall complete within 5 seconds. 98% of tasks shall complete within 8 seconds.,performance,look-and-feel|performance|scalability|security|usability,respons fast enough avoid interrupt user flow thought task complet within second task complet within second
6,Aside from server failure the software product shall achieve 99.99% up time.,availability,availability|performance,asid server failur softwar achiev time
6,The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.,maintainability,performance,creat except log problem encount within transmiss compani analysi resolut
6,The product shall be capable of handling up to 1 000 concurrent requests. This number will increase to 2 000 by Release 2. The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.,scalability,availability|maintainability|performance|scalability|usability,capabl handl concurr request number increas releas concurr capac abl handl peak schedul time earli morn late afternoon hour
6,The product shall be able to process 10 000 transactions per hour within two years of its launch. This number will increase to 20 000 by Release 2.,scalability,availability|maintainability|operational|performance|scalability|usability,abl process transact per hour within two year launch number increas releas
6,The product shall be expected to operate for at least 5 years for each customer installation.,operational,availability|operational|scalability,expect oper least year custom instal
6,The product shall be used in office environments.,operational,look-and-feel|operational|usability,use offic environ
6,The product must be able to interface with any HTML browser. The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).,look-and-feel|operational,look-and-feel|operational|scalability|security|usability,abl interfac html browser transmit data user without problem display html properli html browser test minimum test browser
6,The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.,availability|operational,look-and-feel|operational|usability,abl interfac variou databas manag system commun success databas manag transact
6,The product must be able to interface with various email servers. The product shall be able to send email.,operational,look-and-feel|operational|scalability|usability,abl interfac variou email server abl send email
6,The product shall be available for distribution via the Internet as a binary or ZIP file.,operational,availability,avail distribut via internet binari zip file
6,The product shall be available for distribution as a packaged CD.,operational,availability,avail distribut packag cd
6,The product will be available for licensing as a one-server two-five servers or five-or-more servers license.,operational,availability,avail licens one server two five server five server licens
6,A new user must be able to be added to the system within 10 minutes. 90% of new users are able to log into the system within 10 minutes.,performance,look-and-feel|performance|scalability|security|usability,new user abl ad within minut new user abl log within minut
