project,text,actual_types,predicted_types,preprocessed_tokens
13,The system shall use IBM and CCR branding standards. The interface must have one IBM logo and one CCR logo.,look-and-feel,look-and-feel|operational|usability,use ibm ccr brand standard interfac one ibm logo one ccr logo
13,The system shall be displayable on any work computer a CCR user may have. The system interface shall be formatted to display at 800 by 600 pixel resolution.,look-and-feel,look-and-feel|operational|security|usability,display work comput ccr user may interfac format display pixel resolut
13,The system interface will use CCR nomenclature. The system must use the same nomenclature used in the existing WCS system and reports,look-and-feel,look-and-feel|operational|usability,interfac use ccr nomenclatur use nomenclatur use exist wc report
13,The interface must summarize the data in a fashion that's appealing to CCR management. Every report type must have at least one high level summary shown in the results dashboard/interface,look-and-feel,operational,interfac summar data fashion appeal ccr manag everi report type least one high level summari shown result dashboard interfac
13,The system must use a point and click interface. 100% of all selection and navigation functionality must be able to be activated/selected by either a mouse or a keyboard,look-and-feel|usability,look-and-feel|operational|usability,use point click interfac select navig function abl activ select either mous keyboard
13,The interface shall be easy to use. 90% of users should be able to successfully use the system to generate a report on their first use. The interface should adhere to IBM usability standards.,look-and-feel|usability,look-and-feel|operational|scalability|security|usability,interfac easi use user abl success use gener report first use interfac adher ibm usabl standard
13,Reports must be easy to generate. Reports must be generated within one button click and exported within one button click (after selecting the report),operational|usability,performance|usability,report easi gener report gener within one button click export within one button click select report
13,A user shall be able to use the system without instruction after a short amount of time. After one use a user should understand and remember 90% of the system usage and navigation.,usability,availability|look-and-feel|operational|performance|scalability|security|usability,user abl use without instruct short amount time one use user understand rememb usag navig
13,All CCR users shall receive training before the WCS system is deployed. One training session will be held for 100% of CCR users before system deployment (based on a CCR user being available),functional,availability|security|usability,ccr user receiv train wc deploy one train session held ccr user deploy base ccr user avail
13,The WCS system shall use appropriate nomenclature and terminology as defined by the Corporate Community Grants organization. All interfaces and reports will undergo usability tests by CCR users.,legal|look-and-feel|usability,look-and-feel|operational|security|usability,wc use appropri nomenclatur terminolog defin corpor commun grant organ interfac report undergo usabl test ccr user
13,The WCS system shall be available at all times as long as IBM's internal intranet W3 is accessible. The WCS system will be available 95% of the time IBM's internal intranet W3 is available.,availability,availability|performance|security,wc avail time long ibm intern intranet w access wc avail time ibm intern intranet w avail
13,The WCS system shall have the ability to connect other designated WCS databases currently not included in the system.,scalability,functional,wc abil connect design wc databas current includ
13,The WCS system shall have the ability to include data for regions outside the United States and be accessed by users outside of the United States if approved by CCR management.,scalability|usability,security|usability,wc abil includ data region outsid unit state access user outsid unit state approv ccr manag
13,The WCS system shall be run in a Windows environment. The WCS shall be accessed by users through the Internet on an IBM computer running a Windows 2000 or above operating system.,operational,operational|security|usability,wc run window environ wc access user internet ibm comput run window oper
13,The Brio portion of the WCS system must be able to export files in spreadsheet form (Microsoft Excel and Lotus 1-2-3 formats). Brio will provide buttons in the user interface that produce/export reports in .xls or .123 file formats.,look-and-feel|operational,look-and-feel|operational|scalability|security|usability,brio portion wc abl export file spreadsheet form microsoft excel lotu format brio provid button user interfac produc export report xl file format
13,The WCS system must run queries to the WCS databases once again (on a specified day) to update the available data available to CCR users. Queries must be made to external databases for data refresh once a week.,maintainability,availability|maintainability|operational|security|usability,wc run queri wc databas specifi day updat avail data avail ccr user queri made extern databas data refresh week
13,All changes updates and additions to the WCS system shall be updated in the WCS Developer and WCS User Guides. Every change must be reflected in WCS system documentation,maintainability,maintainability|security|usability,chang updat addit wc updat wc develop wc user guid everi chang reflect wc document
13,The system shall only be accessed by authorized Corporate Community Grants (CCR) employees. Users must be authenticated using their IBM intranet user name and password.,security,look-and-feel|security|usability,access author corpor commun grant ccr employe user authent use ibm intranet user name password
13,The WCS system shall not allow automatic logins by any user. Cookies containing WCS login information about a user will not be stored on a user's computer.,security,security|usability,wc allow automat login user cooki contain wc login inform user store user comput
