project,text,actual_types,predicted_types,preprocessed_tokens
12,The product shall provide GUI based Monitoring Services.System Administrators shall monitor message exchanges will predict and determine problems and will also provide internal and external support.,maintainability|operational,scalability,provid gui base monitor servic administr monitor messag exchang predict determin problem also provid intern extern support
12,The product shall comply with City of Chicago Application Development Guide Framework.Application Development Framework will provide structured Graphical User Interface.,legal|look-and-feel,legal|look-and-feel|operational|security|usability,compli citi chicago applic develop guid framework applic develop framework provid structur graphic user interfac
12,The product shall provide Monitoring Services.The product shall be easy for System Administrators and DBAs to use after two weeks of usage.,usability,look-and-feel|usability,provid monitor servic easi administr dba use two week usag
12,The product shall provide Error Tracking Services.The product shall help the System Administrators and DBAs to resolve transaction errors 99% of the time.,maintainability|usability,availability|performance,provid error track servic help administr dba resolv transact error time
12,The product shall provide Portals.The product shall help System Administrators to analyze the transactions with ad-hoc reporting and KPIs (Key Performance Indicators),usability,functional,provid portal help administr analyz transact ad hoc report kpi key perform indic
12,The product shall provide Asynchronous Messaging.The product shall provide asynchronous messaging to enable parallel processing and reduce the overhead in communications,performance|usability,functional,provid asynchron messag provid asynchron messag enabl parallel process reduc overhead commun
12,The product shall provide Multi-threading and Load Balancing.The product shall provide multi-threading technology as well as load balancing to overcome data load spikes and traffic.,performance|scalability|usability,functional,provid multi thread load balanc provid multi thread technolog well load balanc overcom data load spike traffic
12,The product shall process messages within 2 seconds.The product shall have a maximum message processing time of 2 seconds,performance,availability|performance,process messag within second maximum messag process time second
12,The product shall poll the system for messages every second.The product shall poll the system for new messages at a maximum of every 1 second.,performance,maintainability|performance,poll messag everi second poll new messag maximum everi second
12,The product shall provide Dynamic Change Support and Transparent resource addition.The product shall support Transparent Resource addition and Dynamic Change support to provide scalability and avoid service interruptions of more than 1 day.,scalability,scalability,provid dynam chang support transpar resourc addit support transpar resourc addit dynam chang support provid scalabl avoid servic interrupt day
12,The product shall be available 99% of the time. Rationale: To avoid service interruption during busiest customer service response periods. The product shall be available 99.99% of the time for regular business days.,availability,availability|performance,avail time rational avoid servic interrupt busiest custom servic respons period avail time regular busi day
12,The product shall be robust.The product shall have fault avoidance based on standards adoption.,performance,look-and-feel,robust fault avoid base standard adopt
12,The product shall be robust with fault tolerance.The product shall have fault tolerance by using recovery technique compensatory transaction and routing around failures.,availability,look-and-feel|usability,robust fault toler fault toler use recoveri techniqu compensatori transact rout around failur
12,The product shall be able to process all transactions.The product shall process minimum of 1 million transactions per year.,performance|scalability,availability|scalability|usability,abl process transact process minimum million transact per year
12,The product shall be platform independent.The product shall enable access to any type of development environment and platform.,operational,operational|security,platform independ enabl access type develop environ platform
12,The product shall interface CSR and Datastream.The product shall exchange messages between CSR and EAM on a real time basis without any direct interfaces between two systems.,operational,availability|look-and-feel|operational|performance,interfac csr datastream exchang messag csr eam real time basi without direct interfac two system
12,: The product shall continue to operate during upgrade change or new resource addition.The product shall be able to continue to operate with no interruption in service due to new resource additions.,availability,maintainability|operational|usability,continu oper upgrad chang new resourc addit abl continu oper interrupt servic due new resourc addit
12,The product shall be updated on a regular basis.The product will have a new major feature introduced every six months and quarterly maintenance releases every six months.,maintainability,maintainability,updat regular basi new major featur introduc everi six month quarterli mainten releas everi six month
12,The product shall operate with every platform.The product shall accommodate any new technology without any change in its architecture.,maintainability,maintainability|operational,oper everi platform accommod new technolog without chang architectur
12,The product shall have security.The product shall provide authentication and authorization.,security,security,secur provid authent author
12,The product shall information Security. The product shall enable privacy by encryption WS-Security and Integrity Checking.,security,functional,inform secur enabl privaci encrypt ws secur integr check
12,The product shall have audit capabilities.The product shall store messages for a minimum of one year for audit and transaction tracking purposes.,security,scalability,audit capabl store messag minimum one year audit transact track purpos
